id,date,speed,longitude,latitude,description,direction,distance
190253,1664599336000,0,-75.526859,6.337214,Reporte x tiempo,29,0
420425,1664602936000,0,-75.526859,6.337214,Reporte x tiempo,29,0
624843,1664606536000,0,-75.526914,6.33726,Reporte x tiempo,29,0.00794413162914638
842707,1664610136000,0,-75.526914,6.33726,Reporte x tiempo,29,0
1076714,1664613736000,0,-75.526914,6.33726,Reporte x tiempo,29,0
1339155,1664617336000,0,-75.52689,6.33722,Reporte x tiempo,29,0.005178607057880769
1708256,1664620936000,0,-75.52689,6.33722,Reporte x tiempo,29,0
2131186,1664624536000,0,-75.52689,6.33722,Reporte x tiempo,29,0
2559024,1664628136000,0,-75.52685,6.337266,Reporte x tiempo,29,0.006760528891775934
2652886,1664628794000,0,-75.52685,6.337266,Ignición -> Prendida,29,0
2660275,1664628920000,27,-75.528074,6.337239,Movimiento (76305),187,0.13530423419377696
2660808,1664628921000,27,-75.52814,6.337221,Salio de G-virtual:PARQUEADERO HABITUAL,198,0.00756364815617207
2660810,1664628923000,27,-75.528324,6.337133,Salio de G-virtual:ECOTRANSA,207,0.02256668447398539
2682432,1664629081000,0,-75.533735,6.334325,Parada,282,0.6746080404324702
2693109,1664629094000,0,-75.533735,6.334325,Reporte x tiempo,282,0
2693110,1664629169000,37,-75.532448,6.334569,Movimiento (88),54,0.1447987583231426
2694901,1664629184000,38,-75.531868,6.336269,Reporte x tiempo (G-Out),69,0.19960352576548487
2707772,1664629232000,33,-75.527799,6.337129,Ingreso a G-virtual:PARQUEADERO HABITUAL,340,0.4597432305627614
2707773,1664629235000,21,-75.527543,6.337063,Reporte x tiempo (G-In),353,0.029228313042644546
2708184,1664629261000,0,-75.527034,6.337077,Parada,27,0.05627392474512783
2719859,1664629378000,0,-75.527206,6.337524,Puerta -> Abierta,27,0.05321493967807393
2734471,1664629394000,0,-75.527206,6.337524,Ingreso a G-virtual:ECOTRANSA,27,0
2734472,1664629496000,0,-75.527206,6.337524,Puerta -> Cerrada,27,0
2745050,1664629586000,4,-75.527017,6.337199,Reporte x tiempo (G-In),27,0.04174044352487349
2773400,1664629694000,0,-75.527017,6.337199,Reporte x tiempo,27,0
2773403,1664629801000,27,-75.527501,6.337025,Salio de G-virtual:ECOTRANSA,173,0.05688117569370047
2773404,1664629807000,38,-75.528024,6.337175,Salio de G-virtual:PARQUEADERO HABITUAL,176,0.060158050221219166
2773406,1664629809000,45,-75.528225,6.337123,Movimiento (548),206,0.022953815415541586
2773672,1664629811000,49,-75.52856,6.336967,Reporte x tiempo (G-Out),205,0.040884932788845404
2791908,1664629939000,20,-75.537168,6.334069,Reporte x tiempo (G-Out),202,1.0044156186235993
2799094,1664629994000,1,-75.538494,6.332652,Reporte x tiempo,225,0.21517780157882158
2799095,1664630002000,7,-75.538494,6.332652,Parada,225,0
2801727,1664630022000,6,-75.538909,6.332209,Movimiento (20),233,0.06730543700345772
2808411,1664630074000,7,-75.540515,6.330991,Parada,225,0.22326077087822024
2811467,1664630097000,23,-75.541181,6.330691,Movimiento (23),188,0.08081069083219922
2839199,1664630282000,0,-75.547663,6.324914,Parada,243,0.9622033819114822
2839201,1664630294000,13,-75.547663,6.324914,Reporte x tiempo,243,0
2839602,1664630308000,13,-75.548322,6.324089,Movimiento (26),226,0.11713191259467079
2854684,1664630422000,21,-75.552225,6.320356,Parada,233,0.5986375065116791
2855840,1664630433000,27,-75.55262,6.319759,Movimiento (11),240,0.0794513446553625
2868915,1664630539000,28,-75.553068,6.314445,Parada,300,0.5929606447101268
2870311,1664630550000,40,-75.553257,6.313544,Movimiento (11),242,0.10234101945651981
2878935,1664630594000,12,-75.553677,6.311163,Reporte x tiempo,262,0.26879354921730836
2878938,1664630624000,19,-75.554777,6.30985,Parada,216,0.18998883088036103
2880089,1664630636000,47,-75.555822,6.309745,Movimiento (12),166,0.11608342858894148
2891306,1664630721000,15,-75.558254,6.30985,Parada,227,0.2690413251805471
2892834,1664630733000,34,-75.558765,6.310489,Movimiento (12),73,0.0907644594967844
2923948,1664630856000,6,-75.555591,6.306687,Parada,259,0.5493506523621479
2924410,1664630891000,18,-75.555684,6.305912,Movimiento (35),261,0.08678688477933619
2924411,1664630894000,10,-75.555684,6.305912,Reporte x tiempo,261,0
2924903,1664630948000,14,-75.556134,6.30374,Parada,264,0.24658316389887483
2924907,1664630960000,18,-75.556062,6.303269,Movimiento (12),284,0.05297391040981755
2944858,1664631149000,0,-75.55823,6.296633,Parada,237,0.7758197016984482
2981180,1664631194000,0,-75.55823,6.296633,Reporte x tiempo,237,0
2982623,1664631446000,0,-75.559066,6.29658,Puerta -> Abierta,237,0.09258593255106942
3018208,1664631494000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3063247,1664631794000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3104043,1664632094000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3143965,1664632394000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3182770,1664632694000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3224502,1664632994000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3264329,1664633294000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3302737,1664633594000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3342509,1664633894000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3380166,1664634194000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3418923,1664634494000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3457166,1664634794000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3488493,1664635094000,0,-75.559066,6.29658,Reporte x tiempo,237,0
3495187,1664635394000,0,-75.558989,6.296637,Reporte x tiempo,237,0.010611213511145114
3573849,1664635694000,0,-75.558989,6.296637,Reporte x tiempo,237,0
3613351,1664635994000,0,-75.558989,6.296637,Reporte x tiempo,237,0
3654727,1664636294000,0,-75.558989,6.296637,Reporte x tiempo,237,0
3687590,1664636594000,0,-75.558989,6.296637,Reporte x tiempo,237,0
3687591,1664636848000,0,-75.558989,6.296637,Puerta -> Cerrada,237,0
3733564,1664636894000,0,-75.558989,6.296637,Reporte x tiempo,237,0
3755801,1664637194000,0,-75.558989,6.296637,Reporte x tiempo,237,0
3757253,1664637374000,23,-75.558923,6.296028,Movimiento (6225),228,0.06810946657157203
3775232,1664637494000,17,-75.562344,6.291194,Reporte x tiempo,240,0.6571813535855581
3775233,1664637514000,11,-75.562563,6.290983,Parada,236,0.03370987458274427
3777534,1664637529000,25,-75.563018,6.290417,Movimiento (15),234,0.08056035284774402
3798599,1664637627000,17,-75.564582,6.28606,Parada,237,0.5143916183511461
3798913,1664637642000,24,-75.564703,6.285192,Movimiento (15),281,0.09743934074926161
3799269,1664637669000,0,-75.565146,6.284651,Parada,217,0.07756418805505522
3825853,1664637731000,5,-75.565339,6.283702,Movimiento (62),258,0.10765849517682129
3833396,1664637794000,10,-75.566559,6.281482,Reporte x tiempo,264,0.2812808756876369
3833397,1664637898000,0,-75.564408,6.276902,Parada,296,0.5620334645396258
3835989,1664637932000,27,-75.564317,6.276104,Movimiento (34),263,0.089301781816716
3842534,1664637983000,1,-75.564744,6.273697,Parada,253,0.2717755019982432
3850193,1664638041000,25,-75.564816,6.272852,Movimiento (58),261,0.09429612369191918
