id,date,speed,longitude,latitude,description,direction,distance
1212,1664596826000,0,-75.57241,6.275204,Reporte x tiempo,71,0
2562,1664596856000,0,-75.57241,6.275204,Reporte x tiempo,71,0
4106,1664596886000,0,-75.57241,6.275204,Reporte x tiempo,71,0
9012,1664596916000,0,-75.57241,6.275204,Reporte x tiempo,71,0
9088,1664596946000,0,-75.57241,6.275204,Reporte x tiempo,71,0
9501,1664596976000,0,-75.57241,6.275204,Reporte x tiempo,71,0
11023,1664597006000,0,-75.57241,6.275204,Reporte x tiempo,71,0
13060,1664597036000,0,-75.57241,6.275204,Reporte x tiempo,71,0
14870,1664597066000,0,-75.57241,6.275204,Reporte x tiempo,71,0
16702,1664597096000,0,-75.57241,6.275204,Reporte x tiempo,71,0
19510,1664597126000,0,-75.57241,6.275204,Reporte x tiempo,71,0
21445,1664597156000,0,-75.57241,6.275204,Reporte x tiempo,71,0
23398,1664597186000,0,-75.57241,6.275204,Reporte x tiempo,71,0
25372,1664597216000,0,-75.57241,6.275204,Reporte x tiempo,71,0
27218,1664597246000,0,-75.57241,6.275204,Reporte x tiempo,71,0
29543,1664597276000,0,-75.57241,6.275204,Reporte x tiempo,71,0
31396,1664597306000,0,-75.57241,6.275204,Reporte x tiempo,71,0
33354,1664597336000,0,-75.57241,6.275204,Reporte x tiempo,71,0
35362,1664597366000,0,-75.57241,6.275204,Reporte x tiempo,71,0
37512,1664597396000,0,-75.57241,6.275204,Reporte x tiempo,71,0
40364,1664597426000,0,-75.57241,6.275204,Reporte x tiempo,71,0
42488,1664597456000,0,-75.57241,6.275204,Reporte x tiempo,71,0
44540,1664597486000,0,-75.57241,6.275204,Reporte x tiempo,71,0
46347,1664597516000,0,-75.57241,6.275204,Reporte x tiempo,71,0
48352,1664597546000,0,-75.57241,6.275204,Reporte x tiempo,71,0
50556,1664597576000,0,-75.57241,6.275204,Reporte x tiempo,71,0
52934,1664597606000,0,-75.57241,6.275204,Reporte x tiempo,71,0
54924,1664597636000,0,-75.57241,6.275204,Reporte x tiempo,71,0
56956,1664597666000,0,-75.57241,6.275204,Reporte x tiempo,71,0
59531,1664597696000,0,-75.57241,6.275204,Reporte x tiempo,71,0
61440,1664597726000,0,-75.57241,6.275204,Reporte x tiempo,71,0
63438,1664597756000,0,-75.57241,6.275204,Reporte x tiempo,71,0
65536,1664597786000,0,-75.57241,6.275204,Reporte x tiempo,71,0
67479,1664597816000,0,-75.57241,6.275204,Reporte x tiempo,71,0
69838,1664597846000,0,-75.57241,6.275204,Reporte x tiempo,71,0
71387,1664597876000,0,-75.57241,6.275204,Reporte x tiempo,71,0
73197,1664597906000,0,-75.57241,6.275204,Reporte x tiempo,71,0
75224,1664597936000,0,-75.57241,6.275204,Reporte x tiempo,71,0
77039,1664597966000,0,-75.57241,6.275204,Reporte x tiempo,71,0
78867,1664597996000,0,-75.57241,6.275204,Reporte x tiempo,71,0
81036,1664598026000,0,-75.57241,6.275204,Reporte x tiempo,71,0
83009,1664598056000,0,-75.57241,6.275204,Reporte x tiempo,71,0
85176,1664598086000,0,-75.57241,6.275204,Reporte x tiempo,71,0
87007,1664598116000,0,-75.57241,6.275204,Reporte x tiempo,71,0
