id,date,speed,longitude,latitude,description,direction,distance
25204,1664597093000,15,-74.628835,4.22528,Reporte x tiempo,180,0
45292,1664597393000,30,-74.650533,4.205131,Reporte x tiempo,215,3.287764922844632
52458,1664597600000,0,-74.658834,4.216993,Parada,139,1.6084571764916085
55577,1664597646000,20,-74.659649,4.217336,Movimiento (46),168,0.0980964945270237
65276,1664597693000,52,-74.664623,4.217086,Reporte x tiempo,192,0.5522861073576736
73417,1664597869000,41,-74.68342,4.213214,Corrección de calibración de acelerómetro (head),123,2.1284775090996018
81059,1664597993000,33,-74.692037,4.219969,Reporte x tiempo,131,1.2154439041231175
106260,1664598293000,64,-74.722667,4.244557,Reporte x tiempo,106,4.360283056094189
120279,1664598593000,47,-74.745128,4.246573,Reporte x tiempo,125,2.500763311301745
146915,1664598893000,31,-74.774245,4.251964,Reporte x tiempo,157,3.2839384174904827
165222,1664599193000,66,-74.809083,4.256311,Reporte x tiempo,184,3.8932582399855122
190963,1664599493000,66,-74.856392,4.253553,Reporte x tiempo,186,5.254978030578669
194603,1664599700000,0,-74.880521,4.245612,Parada,213,2.8175820636620377
198791,1664599789000,9,-74.881097,4.245266,Movimiento (89),206,0.0745647812426295
207267,1664599793000,11,-74.881097,4.245266,Reporte x tiempo,206,0
216745,1664600043000,74,-74.912145,4.23298,Detalle incidente,199,3.704071207757959
216746,1664600044000,75,-74.912332,4.232921,Detalle incidente,198,0.02174976257579336
216749,1664600045000,75,-74.91251,4.232865,Detalle incidente,197,0.020697610139975987
216750,1664600046000,75,-74.9127,4.232803,Detalle incidente,196,0.022168635500134346
216751,1664600047000,76,-74.912884,4.23276,Detalle incidente,195,0.02095679586924257
216752,1664600048000,76,-74.913066,4.23271,Detalle incidente,195,0.020934066457810995
216754,1664600049000,77,-74.913261,4.232667,Detalle incidente,195,0.022146182683039663
216755,1664600050000,78,-74.913458,4.232617,Detalle incidente,193,0.02254203730928277
216756,1664600051000,78,-74.913652,4.232577,Detalle incidente,192,0.021967960461354203
216757,1664600052000,81,-74.913849,4.232542,Detalle incidente,190,0.022189615822098673
216759,1664600053000,81,-74.914051,4.232517,Detalle incidente,187,0.02257195028921832
216760,1664600054000,80,-74.914248,4.2325,Detalle incidente,188,0.02192729161215952
216762,1664600055000,80,-74.914439,4.232511,Detalle incidente,184,0.02121559772989157
216763,1664600056000,81,-74.914641,4.232492,Detalle incidente,183,0.02249952883642196
216764,1664600057000,81,-74.914852,4.232471,Detalle incidente,184,0.02351437396126604
216765,1664600058000,81,-74.915057,4.232441,Detalle incidente,185,0.022976244570518174
216767,1664600059000,81,-74.91526,4.232432,Detalle incidente,185,0.022533245343347223
216768,1664600060000,81,-74.915477,4.232412,Detalle incidente,185,0.02416604100418333
