id,date,speed,longitude,latitude,description,direction,distance
1585616,1664619814000,0,-75.387503,6.48534,Ignición -> Prendida,102,0
1679927,1664620714000,0,-75.388701,6.486163,Reporte x tiempo,113,0.16091489233575376
1708384,1664620988000,0,-75.388701,6.486163,Ignición -> Apagada,113,0
2394184,1664626798000,0,-75.388735,6.48627,Ignición -> Prendida,113,0.012476768636997065
2441455,1664627197000,0,-75.386391,6.48355,Ignición -> Apagada,355,0.39817490996370103
3382508,1664634561000,0,-75.386391,6.48355,Ignición -> Prendida,355,0
3464417,1664635197000,0,-75.387476,6.485416,Ignición -> Apagada,82,0.23962871837421099
