id,date,speed,longitude,latitude,description,direction,distance
1773280,1664621547000,0,-74.284791,4.732956,Ignición -> Prendida,90,0
1773527,1664621550000,0,-74.284791,4.732956,Registro de conductor :WILDER STIVEN PEÑA ROJAS,90,0
1773965,1664621552000,0,-74.284791,4.732956,Otro (Video power on),90,0
1778446,1664621591000,0,-74.284791,4.732956,Otro (Video app Init: 1.020),90,0
1818019,1664621847000,0,-74.284791,4.732956,Reporte x tiempo,90,0
1824427,1664621933000,19,-74.285138,4.733893,Movimiento (52534),133,0.11105907859317572
1850874,1664622147000,27,-74.267115,4.741411,Reporte x tiempo,13,2.165113927235808
1878743,1664622447000,68,-74.238951,4.7193,Reporte x tiempo,290,3.9731190493266983
1926287,1664622747000,58,-74.204952,4.697518,Reporte x tiempo,5,4.4790980256900985
1932611,1664622911000,15,-74.183757,4.69916,Parada,5,2.355942714689659
1934197,1664622923000,31,-74.183063,4.699199,Movimiento (12),4,0.07703204291942828
1951732,1664623047000,10,-74.173913,4.696481,Reporte x tiempo,347,1.0580969019337332
1949173,1664623047000,10,-74.173913,4.696481,Parada,347,0
1951733,1664623071000,11,-74.173419,4.696364,Movimiento (24),348,0.05627046149552275
1955243,1664623099000,0,-74.173141,4.696283,Parada,90,0.032097977351702264
1959680,1664623137000,14,-74.172196,4.696058,Movimiento (38),348,0.10767344406286804
1969484,1664623217000,0,-74.170716,4.695677,Parada,90,0.16939920740290945
1973049,1664623248000,15,-74.170042,4.695223,Movimiento (31),320,0.09015350545940504
1976774,1664623278000,6,-74.16957,4.694819,Parada,320,0.06895048534920345
1979391,1664623301000,3,-74.169125,4.694422,Movimiento (23),320,0.06618737423904011
1980674,1664623313000,0,-74.16911,4.694412,Parada,90,0.001999941906287286
1986661,1664623347000,0,-74.16911,4.694412,Reporte x tiempo,90,0
1987062,1664623370000,27,-74.168452,4.69384,Movimiento (57),318,0.09676184560266163
1990819,1664623400000,6,-74.167866,4.693323,Parada,320,0.086731026744916
1994043,1664623426000,5,-74.16743,4.692936,Movimiento (26),319,0.06470287753786334
1998000,1664623460000,6,-74.167018,4.692574,Parada,318,0.0608686203691464
2001844,1664623490000,11,-74.16657,4.692194,Movimiento (30),321,0.06519483278113279
2004911,1664623512000,0,-74.166447,4.692095,Parada,90,0.017521146443927604
2010142,1664623555000,16,-74.165759,4.69156,Movimiento (43),322,0.09670775774414841
2016685,1664623608000,0,-74.164121,4.69029,Parada,90,0.22998808786921712
2021959,1664623647000,23,-74.163832,4.690073,Reporte x tiempo,323,0.0400998540869638
2021961,1664623657000,42,-74.163094,4.689539,Movimiento (49),323,0.10106873308334668
2027626,1664623705000,0,-74.160539,4.687549,Parada,90,0.3593593863176257
2039100,1664623804000,13,-74.159701,4.686897,Movimiento (99),323,0.11781724203708241
2047312,1664623874000,0,-74.156729,4.68299,Parada,90,0.5451785185448026
2050282,1664623903000,48,-74.155938,4.681691,Movimiento (29),301,0.16896187712112387
2058941,1664623947000,54,-74.153546,4.676303,Reporte x tiempo,285,0.6551460799108894
2058942,1664623981000,0,-74.152955,4.674243,Parada,90,0.23824172826492107
2063073,1664624019000,52,-74.152502,4.672661,Movimiento (38),287,0.18293409788428114
2085093,1664624197000,0,-74.143139,4.664731,Parada,90,1.3617174467904969
2088730,1664624229000,38,-74.141947,4.66431,Movimiento (32),340,0.1401545159029402
2092339,1664624247000,23,-74.140226,4.663625,Reporte x tiempo,336,0.2053792721747511
2117354,1664624441000,30,-74.130502,4.653452,Parada,314,1.5623674199620659
2118839,1664624452000,40,-74.129768,4.652671,Movimiento (11),314,0.11899268128283276
2141263,1664624547000,38,-74.124625,4.646332,Reporte x tiempo,292,0.9064915072899673
2148311,1664624691000,0,-74.12282,4.640451,Parada,90,0.6838518226329382
2153711,1664624731000,39,-74.121974,4.639757,Movimiento (40),321,0.12143525438740826
2173179,1664624847000,25,-74.121851,4.630477,Reporte x tiempo,246,1.031978962878317
2178647,1664624934000,0,-74.124481,4.623813,Parada,90,0.7962735539632628
2183541,1664624973000,51,-74.124949,4.622212,Movimiento (39),252,0.18542573931820192
2203831,1664625147000,57,-74.130199,4.607256,Reporte x tiempo,237,1.7618906214787537
2213413,1664625234000,0,-74.134346,4.601017,Parada,90,0.8321951824482527
2217742,1664625271000,49,-74.135196,4.599749,Movimiento (37),236,0.16957412986774398
2230344,1664625382000,1,-74.137324,4.600666,Parada,90,0.2569576036943912
2244707,1664625447000,0,-74.137451,4.601024,Reporte x tiempo,90,0.04222322217515282
2245999,1664625520000,7,-74.137805,4.601516,Movimiento (138),178,0.06732332072105214
2251381,1664625566000,0,-74.138826,4.60017,Parada,90,0.1876346336303825
2258563,1664625627000,1,-74.139246,4.599654,Movimiento (61),211,0.07388578335671205
2259877,1664625638000,0,-74.13928,4.599613,Parada,90,0.005914865622517025
2275747,1664625747000,0,-74.13928,4.599613,Reporte x tiempo,90,0
2275748,1664625766000,0,-74.13928,4.599613,Ignición -> Apagada,90,0
2284020,1664625831000,0,-74.13928,4.599613,Ignición -> Prendida,90,0
2284144,1664625833000,0,-74.13928,4.599613,Registro de conductor :WILDER STIVEN PEÑA ROJAS,90,0
2305746,1664626019000,0,-74.139113,4.599882,Ignición -> Apagada,90,0.03517534082561957
2328637,1664626210000,0,-74.139113,4.599882,Ignición -> Prendida,90,0
2328962,1664626211000,0,-74.139113,4.599882,Registro de conductor :WILDER STIVEN PEÑA ROJAS,90,0
2333928,1664626256000,15,-74.138692,4.600357,Movimiento (618),52,0.07047740681713521
2336371,1664626276000,7,-74.138657,4.600648,Parada,137,0.03258943267040202
2350445,1664626402000,3,-74.139001,4.600029,Movimiento (126),214,0.07868451629875003
2351152,1664626408000,0,-74.13901,4.60002,Ignición -> Apagada,90,0.001413002779680045
2351830,1664626415000,0,-74.13901,4.60002,Parada,90,0
2378040,1664626634000,0,-74.13901,4.60002,Ignición -> Prendida,90,0
2378158,1664626635000,0,-74.13901,4.60002,Registro de conductor :WILDER STIVEN PEÑA ROJAS,90,0
2382042,1664626665000,10,-74.139502,4.599377,Movimiento (250),230,0.0899206277364211
2383349,1664626675000,0,-74.139564,4.599354,Ignición -> Apagada,90,0.007332361338486854
2384269,1664626683000,0,-74.139564,4.599354,Parada,90,0
2387080,1664626706000,0,-74.139564,4.599354,Ignición -> Prendida,90,0
2387178,1664626708000,0,-74.139564,4.599354,Registro de conductor :WILDER STIVEN PEÑA ROJAS,90,0
2389588,1664626728000,0,-74.139564,4.599354,Ignición -> Apagada,90,0
2510975,1664627748000,0,-74.139564,4.599354,Otro (Video power off),90,0
2572816,1664628261000,0,-74.139564,4.599354,Ignición -> Prendida,90,0
