id,date,speed,longitude,latitude,description,direction,distance
30571,1664597173000,0,-74.169596,4.691452,Reporte x tiempo,245,0
72397,1664597773000,0,-74.169596,4.691452,Reporte x tiempo,245,0
111823,1664598373000,0,-74.169596,4.691452,Reporte x tiempo,245,0
144731,1664598973000,0,-74.169596,4.691452,Reporte x tiempo,245,0
185186,1664599573000,0,-74.169614,4.691448,Reporte x tiempo,245,0.0020437874940334635
231015,1664600173000,0,-74.169614,4.691448,Reporte x tiempo,245,0
269639,1664600773000,0,-74.169614,4.691448,Reporte x tiempo,245,0
308538,1664601373000,0,-74.169614,4.691448,Reporte x tiempo,245,0
346605,1664601973000,0,-74.169614,4.691448,Reporte x tiempo,245,0
384056,1664602573000,0,-74.169614,4.691448,Reporte x tiempo,245,0
415844,1664603173000,0,-74.169614,4.691448,Reporte x tiempo,245,0
460922,1664603773000,0,-74.169614,4.691448,Reporte x tiempo,245,0
499123,1664604373000,0,-74.169614,4.691448,Reporte x tiempo,245,0
537605,1664604973000,0,-74.169614,4.691448,Reporte x tiempo,245,0
573716,1664605573000,0,-74.169614,4.691448,Reporte x tiempo,245,0
609426,1664606173000,0,-74.169614,4.691448,Reporte x tiempo,245,0
638022,1664606773000,0,-74.169614,4.691448,Reporte x tiempo,245,0
672873,1664607373000,0,-74.169603,4.691408,Reporte x tiempo,245,0.004611829616114297
716330,1664607973000,0,-74.169603,4.691408,Reporte x tiempo,245,0
752375,1664608573000,0,-74.169603,4.691408,Reporte x tiempo,245,0
787675,1664609173000,0,-74.169603,4.691408,Reporte x tiempo,245,0
825058,1664609773000,0,-74.169603,4.691408,Reporte x tiempo,245,0
864981,1664610373000,0,-74.169603,4.691408,Reporte x tiempo,245,0
895658,1664610973000,0,-74.169603,4.691408,Reporte x tiempo,245,0
939877,1664611573000,0,-74.169603,4.691408,Reporte x tiempo,245,0
978904,1664612173000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1019316,1664612773000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1059396,1664613373000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1098159,1664613973000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1129797,1664614573000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1168612,1664615173000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1218529,1664615773000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1264888,1664616373000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1316259,1664616973000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1370497,1664617573000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1431390,1664618173000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1482509,1664618773000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1554772,1664619373000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1619652,1664619973000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1681120,1664620573000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1744518,1664621173000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1813489,1664621773000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1868380,1664622373000,0,-74.169603,4.691408,Reporte x tiempo,245,0
1940483,1664622973000,0,-74.169564,4.691445,Reporte x tiempo,245,0.005967164928560029
2026350,1664623573000,0,-74.169564,4.691445,Reporte x tiempo,245,0
2097478,1664624173000,0,-74.169564,4.691445,Reporte x tiempo,245,0
2173512,1664624773000,0,-74.169564,4.691445,Reporte x tiempo,245,0
2173514,1664624891000,0,-74.169564,4.691445,Ignición -> Prendida,245,0
2222551,1664625191000,0,-74.169564,4.691445,Reporte x tiempo,245,0
2247946,1664625491000,3,-74.169212,4.692113,Reporte x tiempo,245,0.0838986921010109
2276184,1664625770000,3,-74.168805,4.692552,Salio de :PARQUEADERO EL PLAYON 2,245,0.066462712092885
2277278,1664625778000,2,-74.168805,4.692552,Ingreso a :PARQUEADERO EL PLAYON 2,245,0
2293788,1664625791000,5,-74.168805,4.692552,Reporte x tiempo,245,0
2328869,1664626091000,0,-74.168543,4.692423,Reporte x tiempo,245,0.03238533837908064
2363888,1664626391000,0,-74.168543,4.692423,Reporte x tiempo,245,0
2373591,1664626596000,0,-74.168543,4.692423,Ignición -> Apagada,245,0
2448449,1664627196000,0,-74.168543,4.692423,Reporte x tiempo,245,0
2448450,1664627225000,0,-74.168543,4.692423,Ignición -> Prendida,245,0
2474968,1664627438000,6,-74.168343,4.692938,Salio de :PARQUEADERO EL PLAYON 2,245,0.06140510429733229
2477316,1664627457000,6,-74.168095,4.693146,Movimiento (41785),245,0.035920657712322605
2479509,1664627475000,2,-74.168095,4.693146,Parada,245,0
2487364,1664627525000,9,-74.167855,4.693318,Reporte x tiempo,245,0.03275976700380928
2487365,1664627543000,18,-74.167279,4.692763,Movimiento (68),319,0.08878760387288513
2490040,1664627565000,0,-74.167084,4.692607,Parada,319,0.02771108207402648
2494898,1664627608000,5,-74.16658,4.692176,Movimiento (43),320,0.07359701996332338
2496568,1664627623000,0,-74.16658,4.692176,Parada,320,0
2502623,1664627675000,20,-74.165713,4.691504,Movimiento (52),323,0.12171876805288512
2510060,1664627741000,0,-74.163984,4.690178,Parada,323,0.2417748013475865
2512644,1664627763000,31,-74.163179,4.689548,Movimiento (22),323,0.11342934013312532
2515367,1664627788000,0,-74.162581,4.68909,Parada,322,0.08357968353917873
2523452,1664627825000,0,-74.162198,4.688803,Reporte x tiempo,322,0.05310390287728967
2523453,1664627855000,20,-74.16135,4.688155,Movimiento (67),322,0.1184214787413004
2528299,1664627893000,0,-74.160756,4.687684,Parada,324,0.08412101776587468
2536728,1664627967000,13,-74.160143,4.687208,Movimiento (74),324,0.08611941521205417
2538081,1664627982000,0,-74.160143,4.687208,Parada,324,0
2541750,1664628011000,15,-74.159828,4.686716,Movimiento (29),209,0.06489693482704183
2556728,1664628125000,23,-74.166736,4.681814,Reporte x tiempo,213,0.9397899810776176
2575651,1664628277000,0,-74.172009,4.678106,Parada,216,0.7151891425265136
2608929,1664628425000,4,-74.17289,4.678777,Reporte x tiempo,216,0.12288113599095146
2628592,1664628674000,0,-74.173235,4.6793,Ignición -> Apagada,216,0.0695978960851825
2719922,1664629274000,0,-74.173235,4.6793,Reporte x tiempo,216,0
2796320,1664629874000,0,-74.173235,4.6793,Reporte x tiempo,216,0
2859730,1664630474000,0,-74.173231,4.679319,Reporte x tiempo,216,0.0021587100199573447
2948564,1664631074000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3023559,1664631674000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3102161,1664632274000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3180813,1664632874000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3262313,1664633474000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3325502,1664634074000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3377854,1664634489000,0,-74.173231,4.679319,Ignición -> Prendida,216,0
3432036,1664634789000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3470285,1664635089000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3508701,1664635389000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3548632,1664635689000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3587716,1664635989000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3628770,1664636289000,0,-74.173231,4.679319,Reporte x tiempo,216,0
3628772,1664636407000,6,-74.172654,4.678359,Movimiento (8130),216,0.1244347135217147
3630016,1664636433000,5,-74.17238,4.678157,Parada,216,0.0377703793617653
3654229,1664636589000,2,-74.172149,4.678375,Reporte x tiempo,216,0.03525598832809104
3654230,1664636605000,0,-74.172149,4.678375,Ignición -> Apagada,216,0
3748302,1664637205000,0,-74.172149,4.678375,Reporte x tiempo,216,0
3815973,1664637805000,0,-74.172063,4.678343,Reporte x tiempo,216,0.010173454131086156
3914254,1664638405000,0,-74.172063,4.678343,Reporte x tiempo,216,0
3995604,1664639005000,0,-74.172063,4.678343,Reporte x tiempo,216,0
4077740,1664639605000,0,-74.172063,4.678343,Reporte x tiempo,216,0
4149249,1664640205000,0,-74.172063,4.678343,Reporte x tiempo,216,0
4149251,1664640276000,0,-74.172063,4.678343,Ignición -> Prendida,216,0
4190792,1664640576000,0,-74.171435,4.678961,Reporte x tiempo,216,0.09780629414875218
4190793,1664640595000,0,-74.171435,4.678961,Ignición -> Apagada,216,0
4217636,1664640798000,0,-74.171435,4.678961,Ignición -> Prendida,216,0
4258857,1664641098000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4258858,1664641108000,0,-74.171435,4.678961,Ignición -> Apagada,216,0
4354255,1664641708000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4433686,1664642308000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4509016,1664642908000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4587772,1664643508000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4666851,1664644108000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4744744,1664644708000,0,-74.171435,4.678961,Reporte x tiempo,216,0
4807508,1664645308000,0,-74.171419,4.678997,Reporte x tiempo,216,0.00437816739057601
4900633,1664645908000,0,-74.171419,4.678997,Reporte x tiempo,216,0
4981650,1664646508000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5059412,1664647108000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5134920,1664647708000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5215136,1664648308000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5274744,1664648908000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5362517,1664649508000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5436166,1664650108000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5510890,1664650708000,0,-74.171419,4.678997,Reporte x tiempo,216,0
5582747,1664651308000,0,-74.171419,4.678997,Reporte x tiempo,216,0
