"deviceid","name","company_name"
600136,SZV359,MEALS DE COLOMBIA S.A.S.
601195,USE364,MEALS DE COLOMBIA S.A.S.
601202,SXX570,MEALS DE COLOMBIA S.A.S.
601348,SZP998,MEALS DE COLOMBIA S.A.S.
601587,SZV528,MEALS DE COLOMBIA S.A.S.
603746,EQZ837,MEALS DE COLOMBIA S.A.S.
903808,TTR828,MEALS DE COLOMBIA S.A.S.
903980,KSQ910,MEALS DE COLOMBIA S.A.S.
904862,LJU050,MEALS DE COLOMBIA S.A.S.
905418,WOU555,MEALS DE COLOMBIA S.A.S.
905457,LPY683,MEALS DE COLOMBIA S.A.S.
905629,LJV393,MEALS DE COLOMBIA S.A.S.
200053,FREEZER 3,COMESTIBLES DAN S A
200055,TUNELES,COMESTIBLES DAN S A
200137,CARNICERIA,COMESTIBLES DAN S A
200223,AGENCIA MEDELLIN,COMESTIBLES DAN S A
200227,AREA GESTORES Y COMBOS,COMESTIBLES DAN S A
201008,AREA EMPAQUES,COMESTIBLES DAN S A
201047,PRODUCCION,COMESTIBLES DAN S A
210009,FREEZER 2,COMESTIBLES DAN S A
210010,PLANTA LARGA VIDA,COMESTIBLES DAN S A
10840,CF BARRANQUILLA,TEAM FOODS COLOMBIA S.A.
200011,BUGA - CUARTO SECO,TEAM FOODS COLOMBIA S.A.
200013,BUGA - CUARTO CONSERVACION,TEAM FOODS COLOMBIA S.A.
201039,BODEGA GENERAL PLANTA BOGOTA,TEAM FOODS COLOMBIA S.A.
201040,BODEGA GENERAL 2 BUGA,TEAM FOODS COLOMBIA S.A.
201041,BODEGA GENERAL 1 BUGA,TEAM FOODS COLOMBIA S.A.
201049,BODEGA PLANTA BARRANQUILLA,TEAM FOODS COLOMBIA S.A.
201099,CUARTO REFRIGERACION BOGOTA,TEAM FOODS COLOMBIA S.A.
201164,CUARTO FRIO CONSERVACION,TEAM FOODS COLOMBIA S.A.
201165,BODEGA INGREDIENTES,TEAM FOODS COLOMBIA S.A.
201208,CUARTO CONSERVACION TEAM - ASL- YUMBO,TEAM FOODS COLOMBIA S.A.
601184,CONTENEDOR IBAGUE,TEAM FOODS COLOMBIA S.A.
602650,CONTENEDOR CONGELADO YUMBO,TEAM FOODS COLOMBIA S.A.
200295,SAN CARLOS,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
200321,ZONA FRANCA 2,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
201031,ZONA FRANCA,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
201151,CUARTO FRIO7,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
604133,CUARTO FRIO NO 3 SAN CARLOS,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
905084,CONTENEDOR MUELLE 7,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
905169,CONTENEDOR MUELLE 1,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A
140057,OREO VACUNOS,FRIGORIFICO GUADALUPE S.A.S.
200054,CUARTO FRIO V1,FRIGORIFICO GUADALUPE S.A.S.
200059,CUARTO FRIO V2,FRIGORIFICO GUADALUPE S.A.S.
200063,CUARTO FRIO V3,FRIGORIFICO GUADALUPE S.A.S.
200065,CUARTO FRIO V5,FRIGORIFICO GUADALUPE S.A.S.
200075,CUARTO FRIO V4,FRIGORIFICO GUADALUPE S.A.S.
200078,CUARTO FRIO V7,FRIGORIFICO GUADALUPE S.A.S.
200081,CUARTO FRIO V8,FRIGORIFICO GUADALUPE S.A.S.
200082,CUARTO FRIO V9,FRIGORIFICO GUADALUPE S.A.S.
200084,CUARTO FRIO V10,FRIGORIFICO GUADALUPE S.A.S.
200085,CUARTO FRIO V11,FRIGORIFICO GUADALUPE S.A.S.
200102,CUARTO FRIO V12,FRIGORIFICO GUADALUPE S.A.S.
200109,CUARTO FRIO 1 PORCINOS,FRIGORIFICO GUADALUPE S.A.S.
200112,CUARTO FRIO V15,FRIGORIFICO GUADALUPE S.A.S.
200129,CUARTO FRIO V14,FRIGORIFICO GUADALUPE S.A.S.
200131,CUARTO FRIO 3 PORCINOS,FRIGORIFICO GUADALUPE S.A.S.
200188,CUARTO FRIO 4 PORCINOS,FRIGORIFICO GUADALUPE S.A.S.
200290,CUARTO FRIO 2 PORCINOS,FRIGORIFICO GUADALUPE S.A.S.
10897,BUCARAMANGA,COLOMBINA S.A.
201015,PEREIRA,COLOMBINA S.A.
201023,IBAGUE 1,COLOMBINA S.A.
201034,EQUIPO 2,COLOMBINA S.A.
201035,EQUIPO 3,COLOMBINA S.A.
201036,EQUIPO 4,COLOMBINA S.A.
201115,IBAGUE 2,COLOMBINA S.A.
201120,EQUIPO 1,COLOMBINA S.A.
201153,AREA PASTEURIZACION MEDELLIN 1,COLOMBINA S.A.
201154,AREA PASTEURIZACION MEDELLIN 2,COLOMBINA S.A.
201166,CALI,COLOMBINA S.A.
201167,CALI 2,COLOMBINA S.A.
201171,BOGOTA 1,COLOMBINA S.A.
201172,BOGOTA 2,COLOMBINA S.A.
201212,CERETE,COLOMBINA S.A.
