deviceid,company_name,totalLocations
904862,MEALS DE COLOMBIA S.A.S.,0
905418,MEALS DE COLOMBIA S.A.S.,0
905457,MEALS DE COLOMBIA S.A.S.,0
905629,MEALS DE COLOMBIA S.A.S.,0
200053,COMESTIBLES DAN S A,289
200055,COMESTIBLES DAN S A,291
200137,COMESTIBLES DAN S A,289
200223,COMESTIBLES DAN S A,288
200227,COMESTIBLES DAN S A,319
201008,COMESTIBLES DAN S A,291
201047,COMESTIBLES DAN S A,290
210009,COMESTIBLES DAN S A,291
210010,COMESTIBLES DAN S A,292
10840,TEAM FOODS COLOMBIA S.A.,319
200011,TEAM FOODS COLOMBIA S.A.,0
200013,TEAM FOODS COLOMBIA S.A.,0
201039,TEAM FOODS COLOMBIA S.A.,290
201040,TEAM FOODS COLOMBIA S.A.,290
201041,TEAM FOODS COLOMBIA S.A.,290
201049,TEAM FOODS COLOMBIA S.A.,290
201099,TEAM FOODS COLOMBIA S.A.,407
201164,TEAM FOODS COLOMBIA S.A.,339
201165,TEAM FOODS COLOMBIA S.A.,291
201208,TEAM FOODS COLOMBIA S.A.,315
601184,TEAM FOODS COLOMBIA S.A.,548
602650,TEAM FOODS COLOMBIA S.A.,359
200295,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,596
200321,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,755
201031,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,629
201151,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,291
604133,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,291
905084,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,498
905169,DHL GLOBAL FORWARDING ZONA FRANCA (COLOMBIA) S.A,341
140057,FRIGORIFICO GUADALUPE S.A.S.,294
200054,FRIGORIFICO GUADALUPE S.A.S.,298
200059,FRIGORIFICO GUADALUPE S.A.S.,298
200063,FRIGORIFICO GUADALUPE S.A.S.,303
200065,FRIGORIFICO GUADALUPE S.A.S.,0
200075,FRIGORIFICO GUADALUPE S.A.S.,0
200078,FRIGORIFICO GUADALUPE S.A.S.,318
200081,FRIGORIFICO GUADALUPE S.A.S.,298
200082,FRIGORIFICO GUADALUPE S.A.S.,298
200084,FRIGORIFICO GUADALUPE S.A.S.,297
200085,FRIGORIFICO GUADALUPE S.A.S.,285
200102,FRIGORIFICO GUADALUPE S.A.S.,298
200109,FRIGORIFICO GUADALUPE S.A.S.,298
200112,FRIGORIFICO GUADALUPE S.A.S.,298
200129,FRIGORIFICO GUADALUPE S.A.S.,298
200131,FRIGORIFICO GUADALUPE S.A.S.,298
200188,FRIGORIFICO GUADALUPE S.A.S.,343
200290,FRIGORIFICO GUADALUPE S.A.S.,296
10897,COLOMBINA S.A.,0
201015,COLOMBINA S.A.,366
201023,COLOMBINA S.A.,353
201034,COLOMBINA S.A.,315
201035,COLOMBINA S.A.,505
201036,COLOMBINA S.A.,292
201115,COLOMBINA S.A.,369
201120,COLOMBINA S.A.,389
201153,COLOMBINA S.A.,291
201154,COLOMBINA S.A.,613
201166,COLOMBINA S.A.,347
201167,COLOMBINA S.A.,293
201171,COLOMBINA S.A.,325
201172,COLOMBINA S.A.,338
201212,COLOMBINA S.A.,431
210038,COLOMBINA S.A.,298
210039,COLOMBINA S.A.,353
261027,COLOMBINA S.A.,339
261028,COLOMBINA S.A.,316
261029,COLOMBINA S.A.,344
261134,COLOMBINA S.A.,351
500219,COLOMBINA S.A.,555
902804,COLOMBINA S.A.,644
903240,COLOMBINA S.A.,380
